"transE-High_S47_L005"	"transE-Low_S45_L005"	"transE-Medium_S46_L005"	"transE-Pre_S48_L005"
"ADRBK2"	2.82944522047646	0	1.2438104880588	3.60062481897646
"ADRM1"	0	0	0	2.66502939357313
"ADSSL1"	0.88831419712633	0	1.29673859393364	2.01294773344353
"ADTRP"	9.63985406511165	8.55760982937133	14.5552291155817	5.84038356463898
"AEBP1"	32.1767142514648	15.2023421674714	24.4263208612398	17.5778534469717
"AEBP2"	4.44157098563165	35.3378947071687	5.53098706392104	20.0444232048532
"AEN"	6.05369675078684	14.3633608116507	7.83335966947668	5.47181566978313
"AFAP1"	19.8719175949742	63.5276682627448	36.4674649477664	44.3415528888125
"AFAP1L2"	10.264964055682	7.75218772778344	7.27761455779084	11.8792267649696
"AFF1"	4.40867045981216	2.6847403386263	2.27590855261823	1.92789360386141
"AFF2"	6.94201094791317	8.82608386323396	0.264640529374212	0.850541295821211
"AFF4"	23.2935722802015	34.4989133513479	66.1336682906156	60.1049182380323
"AFM"	113.967421438726	132.357698694277	45.0153540465535	107.791933557075
"AFP"	66.7551668877527	95.6438745635619	33.2388504894011	56.2207796537821
"AFTPH"	1511.94366403483	1490.0308879376	875.774903858081	1619.11876210179
"AGA"	0	0	0.21171242349937	0
"AGAP11"	315.614744186403	287.669927283808	400.242336625559	358.758318577387
"AGAP2"	0.0987015774584811	0	0	0
"AGAP4"	5.7575920184114	0	3.3609347230525	0.935595425403332
"AGAP6"	8.55413671306836	5.16812515185563	4.12839225823771	2.40986700482677
"AGBL2"	2559.82541138571	2215.68264221405	1428.15908082087	2097.57659237774
"AGBL3"	3.58615731432481	2.48338481322933	1.27027454099622	0
"AGBL4"	119.955317137874	138.062771913857	175.403742869228	140.76458445841
"AGBL5"	8.09352935159545	15.2694606759371	13.8671637392087	22.681101221899
"AGER"	7.00781199955216	4.46338081296622	13.6819153686468	9.46935976014282
"AGFG2"	10.462367210599	6.84608786349706	23.4736149554926	28.7766471752843
"AGMAT"	5.09958150202152	11.5443834560931	11.6706473454028	13.4952552270299
"AGMO"	26.320420655595	39.4321237235738	19.6363272795665	29.9390536129066
"AGO1"	0	1.04033688121769	0	0
"AGO2"	38.0001073215152	32.1162063008171	41.6014912176262	44.9369317958873
"AGO3"	7.73162356758102	15.873527252128	0.264640529374212	5.15995052798201
"AGO4"	2.73074364301798	0	0.820385641060058	4.62127437396191
"AGPAT3"	5.59308938931393	2.24847003359953	5.95441191091977	5.61357255241999
"AGPAT4"	51.9499302689806	51.7483700270219	67.8273676786106	37.4521683926607
"AGPAT5"	1.15151840368228	7.45015443968798	10.3474446985317	4.13930097299656
"AGPAT6"	0.987015774584811	6.71185084656575	8.07153614591347	5.84038356463898
"AGPAT9"	2.40173838482304	0	0	0
"AGPS"	0	0	0.317568635249055	0
"AGR2"	10.8242729946134	39.8348347743677	7.25115050485342	22.2841819505157
"AGRN"	38.0659083731542	17.9877602687962	22.3885887850584	18.7119085080666
"AGRP"	68.5975963336444	102.62419944399	76.9839299949583	92.1986764670193
"AGT"	169.668011651129	66.8835936860277	86.4845249994925	142.352261543943
"AGTPBP1"	153.974460835231	165.514241876311	109.428858896237	179.605970300912
"AGTR1"	4.07966520161722	1.64440345740861	1.40259480568332	9.69617077236181
"AGXT2"	2.27013628154507	0	0.185248370561949	1.21910919067707
"AHCYL2"	57.1153128226411	57.6547987719998	95.561695157028	64.3859760936657
"AHDC1"	0	1.84575898280558	1.34966669980848	1.78613672122454
"AHNAK"	95.4773259281707	135.713624117559	36.7585695300781	122.988271375747
"AHNAK2"	16.4831634355663	39.3985644693409	27.8137196372297	21.9156140556599
"AHR"	72.4469578545251	105.745210087643	39.7225434590693	72.8063349222957
"AHRR"	52.8382444661069	4.63117708413037	16.4341768741386	12.1060377771886
"AHSA1"	34.117845274815	21.9141930140372	12.2793205629634	37.3954656396059
"AHSA2"	79.0270630184239	71.8503633124863	67.1393023022376	87.3789424573658
"AHSP"	9.96885932330659	10.7389613545052	10.1886603809072	7.93838542766464
"AICDA"	89.8184354872178	230.484958071068	194.616645301796	163.247226044618
"AIDA"	19.4771112851403	15.0681051505401	15.2962225978295	5.30170741061888
"AIF1"	2.0727331266281	13.6921757269941	3.94314388767576	7.1161955083708
"AIF1L"	44.8763172177894	38.3246683338904	38.8227656591969	19.4490442977784
"AIFM3"	0	13.3565831846658	1.87894775855691	7.34300652058979
"AIG1"	0	0	0.238176476436791	0
"AIM1"	74.4209894036947	88.965582971229	86.6697733700545	70.6516303062153
"AIM1L"	10.7584719429744	6.24202128730615	3.9960719935506	11.1704423517852
"AIM2"	14.4762313605772	7.8193062362491	21.2241704558118	17.4360965643348
"AIMP1"	276.002511099733	222.162263021326	57.7445635094531	183.376703379053
"AIP"	28.9524627211545	39.197208943944	66.7158774552389	51.0041263727453
"AIPL1"	5.69179096677241	55.8090397891942	49.2760665694783	22.9646149871727
"AIRE"	8.98184354872178	3.95999199947379	2.43469287024275	5.24500465756414
"AJAP1"	308.804335341768	301.496340027733	257.389378869359	322.185042857075
"AJUBA"	67.1170726717671	338.512197446543	142.932349915012	98.1241141612404
"AK1"	16.6805665904833	40.6402568759556	37.7642035417001	40.0321436566517
"AK2"	151.506921398768	121.383822560142	125.413146870439	110.797179468976
"AK4"	10.4952677364185	20.2697895566286	8.49496099291221	11.9359295180243
"AK5"	7.79742461922001	7.55083220238647	2.69933339961696	6.06719457685797
"AK7"	124.956197062437	135.210235304067	59.4382628974481	127.354383360963
"AK8"	1.18441892950177	1.61084420317578	0	0
"AK9"	74.3222878262363	101.617421817005	36.8379616888903	83.069533225205
"AKAP11"	1.31602103277975	0	0	0
"AKAP12"	6.87620989627418	18.1891157941932	23.4471509025552	14.7427157942343
"AKAP13"	61.7213864373702	137.962094151159	133.643467333977	89.7888094621925
"AKAP14"	400.596802378155	456.305179803772	592.397825004174	389.037588708622
"AKAP17A"	27.0113316978043	33.2907801989661	38.3464127063233	48.7927190036102
"AKAP3"	134.398647972632	181.488446891138	135.204846457285	127.354383360963
"AKAP6"	60.240862775493	59.2320837209427	89.7396035107954	58.8291062943004
"AKAP7"	76.0989162204889	113.53095706966	23.2354384790558	66.2004641914176
"AKAP8"	160.982272834783	132.525494965441	82.991270011753	138.496474336221
"AKAP8L"	10.2978645815015	0	7.48932698129021	5.89708631769373
"AKAP9"	171.477540571201	164.238990215464	85.0819301938092	118.480402507895
"AKIP1"	147.789161981166	78.8306881929147	111.307806654794	161.234278311174
"AKIRIN2"	1.15151840368228	9.2287949140279	1.2438104880588	3.54392206592171
"AKNA"	0	2.58406257592781	0.740993482247794	0
"AKR1A1"	114.921536687491	164.541023503559	40.9134258412532	159.33473608384
"AKR1B1"	0	3.72507721984399	1.45552291155817	1.87119085080666
"AKR1B10"	108.341431523593	97.6574298175316	66.2924526082402	100.448927036485
"AKR1B15"	0	24.3975778272665	9.07717015753548	9.10079186528696
"AKR1C1"	35.3022642043167	31.4450212161605	16.9105298270122	46.1560409865644
"AKR1C3"	2.46753943646203	22.5518188444609	14.5287650626443	10.0647386672177
