"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"SOS2"	2180	2779	1458	1920
"SOST"	1528	1597	1935	1586
"SOSTDC1"	5818	10805	13448	10546
"SOWAHA"	3317	1858	7498	2984
"SOWAHB"	2215	3294	5606	2377
"SOWAHC"	4705	5962	7960	4409
"SOWAHD"	115	194	228	115
"SOX10"	3670	4518	5249	4574
"SOX12"	0	0	192	0
"SOX13"	96	87	100	1
"SOX14"	2599	3926	5824	3826
"SOX15"	113	0	230	193
"SOX17"	292	418	1205	489
"SOX18"	0	0	28	0
"SOX2"	9394	7442	14049	10800
"SOX21"	15820	11974	12341	14667
"SOX30"	225	3430	2693	968
"SOX5"	76	182	83	423
"SOX6"	133	0	48	180
"SOX7"	6624	3093	6145	5501
"SOX8"	0	76	31	135
"SOX9"	1145	858	1233	1436
"SP100"	0	988	871	493
"SP140L"	1	0	0	0
"SP2"	0	55	55	0
"SP3"	281	738	1157	1049
"SP4"	462	297	300	456
"SP5"	3019	3509	5659	2602
"SP6"	2699	3042	2141	3029
"SP7"	122	113	142	126
"SP8"	280	569	753	192
"SP9"	8797	9714	11381	10547
"SPA17"	21	0	37	50
"SPACA1"	926	1085	833	926
"SPACA4"	2280	1796	3302	2842
"SPACA5"	478	963	891	845
"SPACA5B"	2165	2337	3552	2623
"SPACA7"	1489	766	789	952
"SPAG1"	195	257	449	272
"SPAG11B"	8941	6343	12504	10781
"SPAG16"	2143	1205	1235	1823
"SPAG17"	9860	8130	7298	8365
"SPAG5"	1506	1002	2348	1613
"SPAG6"	0	136	18	156
"SPAG8"	10185	9286	11833	13388
"SPAM1"	2507	1755	874	3027
"SPANXA1"	15445	16992	16831	21081
"SPANXB1"	13507	13211	24319	16896
"SPANXN1"	0	1	1	0
"SPANXN2"	1740	2834	696	2690
"SPANXN4"	1407	527	365	908
"SPANXN5"	153	139	423	173
"SPARC"	214	327	253	241
"SPARCL1"	2302	3276	3839	4001
"SPAST"	4325	5289	4979	4229
"SPATA12"	1173	1835	1721	1142
"SPATA13"	3344	2024	4279	3789
"SPATA16"	4628	3379	5219	4239
"SPATA17"	13885	17273	6874	15129
"SPATA18"	173	438	254	163
"SPATA19"	361	190	223	675
"SPATA2"	387	1404	401	599
"SPATA21"	0	0	64	0
"SPATA24"	3372	13107	11478	9876
"SPATA25"	17	0	0	0
"SPATA2L"	1705	1772	1906	3417
"SPATA3"	905	1711	1834	901
"SPATA31A1"	0	0	17	0
"SPATA31A3"	0	0	31	0
"SPATA31C1"	240	78	195	6
"SPATA31C2"	0	0	1	0
"SPATA31D1"	197	65	123	171
"SPATA31D3"	8194	7608	7502	10535
"SPATA31D4"	1007	1041	328	1020
"SPATA31E1"	0	0	45	0
"SPATA33"	131	357	416	168
"SPATA4"	313	349	29	184
"SPATA45"	1248	1215	947	2060
"SPATA6"	362	240	564	476
"SPATA7"	3048	1625	1114	2716
"SPATA8"	152	993	1093	1065
"SPATA9"	75	2060	827	1759
"SPATC1"	1984	2018	3010	2297
"SPATC1L"	119	636	1067	633
"SPATS1"	1267	2354	3037	2425
"SPATS2"	1907	2680	1125	2986
"SPATS2L"	227	352	248	296
"SPC25"	74	226	16	293
"SPCS3"	26	0	91	0
"SPDEF"	5143	4007	7584	4325
"SPDYA"	3324	3369	3211	4072
"SPDYE1"	261	343	200	320
"SPDYE4"	3733	4001	5971	4350
"SPDYE6"	455	257	1641	926
"SPECC1"	1116	710	987	1133
"SPEF1"	573	633	882	1103
"SPEF2"	2041	1964	2123	1798
"SPEG"	5478	5592	11037	5698
"SPEM1"	38	72	0	228
"SPERT"	5229	4618	4525	6251
"SPESP1"	93	83	19	45
"SPG11"	77	81	78	517
"SPG20"	43	67	59	207
"SPG21"	0	73	102	0
"SPG7"	27	189	152	132
"SPHAR"	684	390	35	630
"SPHK1"	620	2187	2368	1125
"SPHK2"	170	337	342	383
"SPHKAP"	180	0	310	145
"SPI1"	939	527	1043	725
"SPIC"	2267	3117	766	2199
"SPICE1"	3588	4100	6158	4877
"SPIDR"	173	474	368	282
"SPIN1"	10912	3239	3364	7264
"SPIN2A"	1422	2065	2891	1488
"SPIN4"	0	0	0	1
"SPINK1"	1687	1538	2430	2054
"SPINK13"	62	0	46	104
"SPINK2"	352	1069	624	403
"SPINK4"	36	159	29	34
"SPINK6"	2295	3725	4537	3062
"SPINK7"	499	133	139	80
"SPINK8"	1399	1459	1067	1759
"SPINT1"	672	635	1529	1147
"SPINT3"	96	0	33	117
"SPIRE1"	0	110	69	31
"SPIRE2"	193	69	123	257
"SPN"	779	473	579	549
"SPNS2"	3	0	11	3
"SPNS3"	2893	3836	5204	3707
"SPO11"	0	181	39	0
"SPOCD1"	4253	3517	5575	5656
"SPOCK2"	123	0	0	0
"SPOCK3"	0	0	0	35
"SPON1"	7188	7729	3476	8359
"SPON2"	10668	2422	8284	5678
"SPP1"	3814	3287	3662	3193
"SPPL2A"	280	2035	780	695
"SPPL2B"	36	0	33	4
"SPPL2C"	692	666	1988	804
"SPPL3"	1191	2756	1922	1829
"SPR"	200	402	440	52
"SPRED1"	0	979	774	797
"SPRED3"	0	138	152	53
"SPRN"	9295	9185	15785	10283
"SPRR1A"	3756	3214	7475	3895
"SPRR1B"	16	1	0	0
"SPRR2B"	24	823	890	569
"SPRR2D"	1367	900	1972	865
"SPRR2E"	0	217	141	0
"SPRR2F"	24	302	130	2
"SPRR2G"	1799	1372	3715	2485
"SPRR3"	3567	2048	2119	2191
"SPRR4"	820	175	310	419
"SPRY1"	0	0	88	64
"SPRY2"	0	207	51	62
"SPRY3"	957	551	577	774
"SPRY4"	10640	13647	20763	14383
"SPRYD4"	43	0	0	86
"SPRYD7"	2043	2048	1819	2118
"SPSB2"	4001	2561	5247	4786
"SPSB3"	0	0	27	0
"SPSB4"	10153	6964	7322	10143
"SPTA1"	317	144	231	497
"SPTAN1"	133	233	70	106
"SPTB"	462	316	228	158
"SPTBN2"	38	0	76	111
"SPTBN5"	0	86	6	0
"SPTLC3"	2065	1851	1990	2015
"SPTSSA"	502	284	547	721
"SPTSSB"	105	841	147	223
"SPTY2D1"	2842	2322	3352	2726
"SPX"	3718	3555	3803	4991
"SQLE"	1739	1711	4423	2902
"SQSTM1"	2129	1597	2301	3260
"SRA1"	13041	16372	22341	19491
"SRBD1"	0	0	46	0
"SRD5A1"	0	314	222	0
"SRD5A2"	1879	4942	2898	3919
"SRD5A3"	0	70	13	0
"SREBF1"	1	0	0	0
"SREK1"	389	357	43	575
"SREK1IP1"	0	63	0	49
"SRFBP1"	268	121	55	133
"SRGAP1"	466	995	974	1097
"SRGAP2"	0	192	95	89
"SRGAP2B"	2348	2515	2453	2371
"SRGAP2C"	280	1036	799	1341
"SRGN"	698	751	760	546
"SRI"	563	721	239	557
"SRL"	339	258	889	1135
"SRMS"	5496	4572	5819	7274
"SRP19"	2258	1083	1795	2018
"SRP54"	0	1	0	0
"SRP68"	3667	2793	6285	3840
"SRP72"	12660	16310	24767	20982
"SRP9"	79	0	111	298
"SRPK1"	345	286	368	242
"SRPK3"	7499	6820	13171	5644
"SRPRB"	67	89	6	130
"SRPX"	1996	1801	3161	1394
"SRRD"	0	147	40	0
"SRRM1"	0	4	0	0
"SRRM2"	1537	1872	2649	1604
"SRRM3"	115	342	385	527
"SRRM4"	489	556	470	602
"SRRM5"	0	0	29	85
"SRRT"	142	50	249	161
"SRSF10"	2060	2286	2926	2392
"SRSF11"	151	264	40	248
"SRSF12"	481	390	772	504
"SRSF4"	2398	3387	795	2918
"SRSF5"	1585	2317	885	2315
"SRSF7"	35	0	13	94
"SRXN1"	108	0	27	48
"SRY"	308	0	116	51
"SS18"	156	437	181	387
"SS18L1"	509	681	2111	1028
"SSB"	102	459	32	139
"SSBP2"	2413	1142	1821	2073
"SSC5D"	1534	975	1962	898
"SSFA2"	50	0	77	0
"SSH1"	4676	5488	7470	6019
"SSH2"	382	631	801	1721
"SSH3"	767	946	711	508
"SSMEM1"	2433	3239	1658	2270
"SSNA1"	756	1051	2343	905
"SSPN"	294	140	766	818
"SSPO"	303	1246	643	545
"SSR1"	7	65	0	59
"SSR4"	1043	408	1013	1680
"SSSCA1"	415	264	1635	772
"SSTR1"	1613	1265	3488	2018
"SSTR2"	36	230	103	101
"SSTR3"	2087	293	690	1053
"SSTR4"	73	146	72	453
"SSTR5"	9175	8041	23271	9006
"SSU72"	66	275	328	616
"SSUH2"	398	102	114	327
"SSX2"	164	241	248	252
"SSX2B"	55	0	9	44
"SSX2IP"	0	103	0	0
"SSX3"	1625	2811	1728	2226
"SSX4B"	433	810	793	820
"SSX7"	2770	2692	1278	2889
"ST14"	3880	4684	6541	4375
"ST20"	1482	2556	2383	2060
"ST20-MTHFS"	999	451	1345	506
"ST3GAL1"	40	1	0	0
"ST3GAL2"	0	0	39	96
"ST3GAL3"	84	162	89	205
"ST3GAL5"	325	141	104	225
"ST3GAL6"	5742	2822	1132	3759
"ST5"	6534	13801	19951	9334
"ST6GALNAC2"	124	60	121	196
"ST6GALNAC3"	8726	4790	4915	6639
"ST6GALNAC4"	70	60	236	75
"ST6GALNAC5"	158	347	544	286
"ST6GALNAC6"	528	232	605	139
"ST8SIA1"	196	127	157	254
"ST8SIA2"	3024	2064	3765	2472
"ST8SIA4"	1222	1203	977	1875
"ST8SIA6"	1536	14802	5951	6819
"STAB1"	88	966	715	662
"STAB2"	65	577	1158	642
"STAC"	1864	871	1720	935
"STAC2"	0	268	80	143
"STAG1"	1474	1073	426	1180
"STAG2"	10	41	57	111
"STAM2"	274	960	744	757
"STAMBPL1"	871	464	565	643
"STAP1"	483	743	370	938
"STAP2"	0	1	254	484
"STAR"	496	443	724	600
"STARD10"	4272	4792	5113	4622
"STARD3"	777	371	453	856
"STARD3NL"	52	0	44	158
"STARD4"	808	976	1571	740
"STARD5"	195	566	374	603
"STARD8"	0	0	25	0
"STARD9"	23	926	312	522
"STAT1"	9419	11534	14533	13349
"STAT2"	9488	11268	2864	10973
"STAT4"	115	919	392	349
"STAT5A"	644	499	782	1100
"STAT5B"	116	140	116	77
"STAT6"	2033	2105	1573	2921
"STATH"	0	192	58	264
"STAU1"	1442	800	2020	1848
"STAU2"	51	102	63	88
"STBD1"	45	53	113	43
"STC1"	2138	1001	2278	2059
"STEAP1"	1182	1127	719	871
"STEAP1B"	0	0	36	126
"STEAP3"	1282	1481	3761	1720
"STEAP4"	543	509	121	670
"STH"	3495	1616	5534	2810
"STIL"	8	0	0	6
"STIM1"	2796	3227	6253	4078
"STIM2"	597	649	275	1289
"STIP1"	2018	11687	7434	6040
"STK10"	75	1088	404	410
"STK16"	10925	10413	11473	13015
"STK17B"	3470	5512	4679	4068
"STK19"	1778	1686	3632	1946
"STK24"	218	545	6	113
"STK32A"	514	1137	556	339
"STK32B"	377	776	342	722
"STK32C"	106	12	179	188
"STK33"	98	684	216	602
"STK35"	474	1139	1063	844
"STK36"	932	1356	2250	1798
"STK38L"	4301	3856	6224	4855
"STK39"	228	349	239	730
"STK4"	3125	3236	3828	3063
"STKLD1"	347	237	655	421
"STMN1"	1957	1351	3577	3057
"STMN2"	0	0	9	68
"STMN3"	18	77	94	72
"STMN4"	722	652	1126	813
"STMND1"	346	1575	949	1273
"STOM"	18251	17248	21822	19706
"STOML1"	602	321	974	1017
"STOML3"	1096	694	2023	1396
"STON1"	2192	3783	2308	2983
"STON1-GTF2A1L"	229	866	1775	605
"STPG1"	1754	2961	1986	2693
"STPG2"	2149	3530	1500	3210
"STRA13"	192	198	958	913
"STRA8"	3782	8061	9935	10506
"STRADA"	824	781	578	899
"STRADB"	3507	2625	1868	3534
"STRAP"	2100	1437	2702	1994
"STRBP"	1385	2199	2225	1642
"STRC"	3157	2476	2898	2576
"STRIP1"	170	0	18	0
"STRN"	270	60	143	77
"STRN3"	3732	3605	3510	4577
"STS"	2064	1979	1826	1856
"STT3A"	262	388	143	583
"STUB1"	8948	5571	11285	7690
"STX11"	2266	2624	3263	3228
"STX12"	17	73	221	104
"STX16"	508	765	257	460
"STX18"	220	2553	1630	1102
"STX19"	0	138	9	79
"STX1A"	670	253	720	340
"STX1B"	214	460	505	635
"STX2"	520	677	540	978
"STX3"	173	246	269	262
"STX4"	1790	1377	1753	1922
"STX5"	1657	1450	1680	1327
"STX6"	206	162	61	209
"STX7"	0	64	86	0
"STX8"	0	7	0	0
"STXBP1"	0	0	199	0
"STXBP5L"	0	196	165	101
"SUB1"	1254	1917	2573	2046
"SUCLG1"	0	0	18	2
"SUCLG2"	5178	3252	11004	6349
"SUCNR1"	4665	3243	2436	3944
"SUFU"	4061	2221	4731	3995
"SUGCT"	4858	4268	9326	5939
"SULF1"	0	53	6	186
"SULF2"	10098	9261	14429	14526
"SULT1A1"	2791	1628	1023	2137
"SULT1A2"	4665	5160	5958	5252
"SULT1A3"	0	0	1	0
"SULT1A4"	0	373	200	419
"SULT1B1"	0	113	0	0
"SULT1C2"	693	897	533	856
"SULT1C3"	135	1875	709	459
"SULT1C4"	7897	7942	8076	9656
"SULT2A1"	7115	6112	6502	6624
"SULT2B1"	119	414	86	133
"SULT4A1"	976	1791	1299	1421
"SUMF1"	61	261	439	264
"SUMF2"	778	2684	2395	2905
"SUMO2"	635	751	627	892
"SUMO3"	1178	74	308	299
"SUN1"	429	816	1564	1162
"SUN5"	236	1745	702	1061
"SUOX"	3435	2264	4154	3395
"SUPT16H"	29	0	0	0
"SUPT20H"	44	275	69	264
"SUPT20HL1"	1682	1881	3038	1921
"SUPT20HL2"	52	0	0	35
"SUPT5H"	1202	1276	1594	2102
"SUPT7L"	471	535	368	616
"SURF2"	91	96	61	3
"SURF6"	702	586	522	781
"SUSD1"	2785	3575	1020	2286
"SUSD2"	205	211	218	99
"SUSD3"	1594	1330	2233	1909
"SUSD4"	0	685	391	481
"SUSD6"	337	617	187	229
"SUV39H2"	355	631	57	249
"SUV420H1"	0	65	53	0
"SV2A"	1670	2394	2933	2705
"SV2C"	9372	7167	5212	10722
"SVIL"	939	780	1134	1548
"SVIP"	10988	7392	14735	9659
"SVOP"	351	89	639	170
"SVOPL"	1060	563	677	1006
"SWAP70"	3146	3727	694	2882
"SWI5"	787	830	1122	465
"SWSAP1"	1024	538	1379	1154
"SWT1"	322	211	167	348
"SYAP1"	2251	2179	2739	2664
"SYBU"	206	146	191	367
"SYCE1"	4103	3320	3281	3873
"SYCE1L"	0	521	35	178
"SYCN"	0	81	134	150
"SYCP1"	6719	7409	3732	7264
"SYCP2"	1343	1667	338	1367
"SYCP2L"	0	0	58	37
"SYDE1"	868	4040	4311	2812
"SYDE2"	916	1108	1728	1078
"SYK"	2726	2791	2599	2880
"SYN2"	756	791	351	891
"SYN3"	3690	3180	6577	4788
"SYNCRIP"	934	2758	334	1523
"SYNDIG1"	1812	1713	4117	3096
"SYNE1"	120	0	29	78
"SYNE2"	93	127	0	94
"SYNE3"	2960	2593	4192	3859
"SYNE4"	1218	659	1372	1674
"SYNGAP1"	1500	1169	1353	807
"SYNGR1"	73	190	247	209
"SYNGR4"	3506	4874	8673	6952
"SYNJ1"	1453	1833	2475	2270
"SYNJ2"	83	104	186	385
"SYNJ2BP-COX16"	382	579	787	814
"SYNM"	0	0	0	20
"SYNPO2"	751	887	473	514
"SYNPO2L"	42	0	0	0
"SYP"	1104	1446	1487	1461
"SYPL1"	583	1333	308	589
"SYS1"	2882	3760	6393	2726
"SYT1"	1915	798	3804	1335
"SYT11"	21	0	67	7
"SYT12"	918	475	865	367
"SYT14"	1269	709	1814	682
"SYT15"	486	331	470	596
"SYT16"	2282	2401	2465	2913
"SYT17"	2646	4087	2530	3642
"SYT2"	534	652	194	592
"SYT3"	0	0	8	0
"SYT4"	33	0	0	0
"SYT5"	49	0	274	68
"SYT8"	1133	962	1360	1712
"SYT9"	508	307	661	949
"SYTL1"	8348	6286	12892	8737
"SYTL4"	3847	5943	6216	5997
"SYTL5"	807	659	1185	1314
"SYVN1"	1186	599	1431	1261
"SZT2"	2650	2043	2103	2894
"T"	762	358	790	314
"TAAR1"	733	633	391	962
"TAAR2"	1129	1405	273	1814
"TAAR5"	68	1386	577	254
"TAAR6"	5211	7745	9590	6738
"TAAR9"	261	219	349	78
"TAB1"	81	0	117	76
"TAB3"	956	1474	908	1760
"TAC3"	7509	4005	3688	5355
"TACC1"	7927	5525	8922	7537
"TACC2"	0	0	83	0
"TACR1"	2043	3221	3453	3406
"TACR2"	9155	7617	5675	10162
"TACR3"	329	0	129	307
"TACSTD2"	1282	778	945	897
"TADA1"	2337	3342	1307	2172
"TADA2A"	319	117	384	69
"TADA2B"	139	209	38	47
"TAF11"	352	459	104	397
"TAF1B"	180	441	328	489
"TAF1D"	1624	925	1141	1805
"TAF4"	58	653	741	248
"TAF4B"	740	596	435	899
"TAF5L"	617	117	504	434
"TAF7"	5264	2704	4720	3062
"TAF9"	0	273	176	177
"TAF9B"	2169	2436	2354	2639
"TAGLN"	40408	15027	42028	27627
"TAGLN2"	1881	4137	991	2695
"TAL1"	562	675	763	900
"TAL2"	0	252	0	0
"TAMM41"	50	1	0	0
"TANC2"	1871	1443	1821	2547
"TANGO2"	85	157	27	0
"TANK"	1818	2183	1378	2665
"TAOK1"	2722	2605	908	3199
"TAOK2"	185	0	307	0
"TAOK3"	46	0	0	106
"TAP1"	1995	2064	3118	2243
"TAP2"	1057	533	377	723
"TAPBP"	42	0	0	0
"TAPT1"	282	1216	341	715
"TARBP1"	430	619	767	540
"TARBP2"	655	910	444	294
"TARM1"	944	2734	3415	1263
"TARS"	1221	1230	361	1347
"TARS2"	167	481	1052	322
"TAS1R1"	959	1466	3029	1803
"TAS1R2"	113	0	115	55
"TAS1R3"	1363	1442	2427	2063
"TAS2R1"	7397	3014	2966	4043
"TAS2R10"	7723	7219	10602	9600
"TAS2R14"	875	1359	292	1203
"TAS2R16"	0	0	75	0
"TAS2R19"	0	0	7	38
"TAS2R20"	288	439	202	643
"TAS2R3"	1681	1531	1168	1883
"TAS2R30"	3318	4470	2829	5341
"TAS2R39"	528	936	1315	924
"TAS2R4"	2349	2486	2380	4266
"TAS2R40"	7353	5528	12633	7295
"TAS2R41"	901	647	242	1123
"TAS2R42"	7581	6842	7609	6147
"TAS2R46"	0	177	33	88
"TAS2R50"	9542	11126	7989	12864
"TAS2R60"	129	296	0	0
"TAS2R8"	37	0	28	84
"TAS2R9"	332	430	782	517
"TAT"	469	160	104	605
"TATDN1"	13761	6080	5854	9559
"TATDN3"	508	5028	2097	1880
"TAX1BP1"	60	226	48	7
"TAZ"	50	0	0	0
"TBATA"	4178	2370	6912	5799
"TBC1D1"	192	0	225	243
"TBC1D10A"	312	2309	2793	1682
"TBC1D10B"	3221	2174	2722	3203
"TBC1D10C"	787	2567	2060	2219
"TBC1D12"	0	0	56	87
"TBC1D13"	437	102	157	653
"TBC1D14"	228	95	232	0
"TBC1D15"	506	93	83	767
"TBC1D16"	1567	965	2756	2551
"TBC1D17"	156	0	248	0
"TBC1D19"	1376	1638	1523	1454
"TBC1D2"	404	91	249	195
"TBC1D20"	5087	4290	4314	4739
"TBC1D21"	7218	4385	3777	5200
"TBC1D22A"	224	0	498	228
"TBC1D23"	5531	8440	6079	7868
"TBC1D25"	40	391	229	245
"TBC1D28"	4766	2471	2349	3124
"TBC1D30"	31	39	0	0
"TBC1D32"	34	142	82	30
"TBC1D3H"	1	0	0	0
"TBC1D3K"	88	0	0	0
"TBC1D4"	206	0	28	55
"TBC1D8"	5266	3919	6216	4698
"TBC1D8B"	108	327	91	330
"TBC1D9"	114	0	0	0
"TBCA"	630	882	1146	997
"TBCB"	8318	5056	14734	6312
"TBCCD1"	11870	12304	6483	13519
"TBCD"	0	0	29	0
"TBCEL"	208	0	317	301
"TBK1"	42	84	0	0
"TBKBP1"	0	0	36	0
"TBL1X"	1135	1192	1184	1723
"TBL1Y"	132	448	132	435
"TBL2"	2251	2343	3157	2881
"TBPL1"	1329	1711	1011	1363
"TBPL2"	423	467	417	351
"TBRG1"	5606	6450	5731	7677
"TBX10"	0	0	60	63
"TBX15"	1191	711	918	1367
"TBX18"	346	107	415	604
"TBX20"	1144	2028	2777	1840
"TBX21"	449	126	284	419
"TBX22"	281	246	574	480
"TBX3"	94	183	511	367
"TBX4"	5967	5225	9154	6136
"TBX5"	0	55	87	0
"TBXA2R"	351	1106	1123	824
"TC2N"	1397	1853	766	1378
"TCAF2"	164	501	90	235
"TCAIM"	2968	1800	1996	2434
"TCAP"	54	288	156	136
"TCEA2"	2157	863	3073	3347
"TCEA3"	1290	504	924	1437
"TCEAL1"	2183	3955	3866	2926
"TCEAL3"	702	1034	1489	407
"TCEAL4"	0	0	7	0
"TCEAL5"	3165	2407	1701	3609
"TCEAL6"	515	1251	715	910
"TCEAL7"	88	311	90	76
"TCEAL8"	66	300	36	73
"TCEANC"	2022	2678	1980	2633
"TCEANC2"	6789	6328	2653	6138
"TCEB3"	278	405	270	554
"TCEB3B"	183	385	125	214
"TCEB3C"	247	210	913	587
"TCERG1"	1064	446	1659	1127
"TCERG1L"	0	5	0	53
"TCF12"	54	0	0	0
"TCF21"	176	0	0	22
"TCF23"	2458	2576	3148	3964
"TCF24"	270	0	97	269
"TCF3"	202	216	646	382
"TCF7"	0	266	27	62
"TCF7L1"	20	0	0	0
"TCF7L2"	267	132	208	241
"TCFL5"	17	238	70	100
"TCHH"	2219	1716	2078	2474
"TCHP"	868	6872	2413	2644
"TCIRG1"	2527	2697	3949	3406
"TCL1A"	1314	1179	1243	1913
"TCN2"	216	7252	5358	2171
"TCOF1"	14	41	2	0
"TCP10"	3682	2789	8187	4104
"TCP10L"	937	869	822	1741
"TCP10L2"	130	2933	1571	1394
"TCP11"	9853	16451	5738	13784
"TCP11L1"	254	0	0	150
"TCP11L2"	1112	1810	902	2177
"TCP11X2"	1754	2596	1021	1876
"TCTA"	9322	9135	13241	12708
"TCTE1"	8908	10137	9936	11355
"TCTE3"	68	69	53	18
"TCTEX1D1"	1791	2418	1896	2371
"TCTEX1D2"	1477	1363	776	2031
"TCTEX1D4"	238	87	637	413
"TCTN1"	13832	13564	18438	14383
"TCTN3"	38	0	53	220
"TDG"	528	644	806	870
"TDGF1"	2393	2895	4482	3344
"TDP2"	473	225	449	452
"TDRD1"	266	233	135	24
"TDRD10"	13	0	0	147
"TDRD12"	8158	13117	2842	11472
"TDRD3"	792	918	244	768
"TDRD7"	28	0	8	20
"TDRD9"	180	0	314	145
"TDRKH"	1266	3422	2380	2487
"TDRP"	211	134	168	0
"TEAD1"	2582	1700	2268	2124
"TEAD3"	141	174	181	203
"TEAD4"	10853	8331	10019	9522
"TEC"	1379	1295	1406	1312
"TECPR1"	27	0	0	0
"TECPR2"	545	820	373	551
"TECRL"	41	0	0	0
"TECTA"	6755	10110	9016	12030
"TECTB"	116	0	162	62
"TEDDM1"	2193	384	882	1074
"TEK"	644	402	150	448
"TEKT1"	1230	1133	1012	1675
"TEKT2"	0	138	53	0
"TEKT3"	0	219	14	83
"TEKT4"	1988	2443	4538	3239
"TEKT5"	2609	3343	2276	4009
"TENM1"	1389	3694	2946	2490
"TENM2"	967	658	968	459
"TENM3"	4653	5534	2268	5447
"TENM4"	9	587	83	396
"TEP1"	118	0	155	150
"TEPP"	245	120	226	188
"TERF1"	36	0	0	32
"TERF2"	0	758	1268	520
"TERF2IP"	2163	1249	1968	2238
"TES"	66	216	82	65
"TESK1"	9924	9441	15079	14274
"TESK2"	209	141	127	0
"TESPA1"	1756	934	895	1977
"TET1"	1	0	82	0
"TEX101"	3109	2198	3547	3365
"TEX11"	783	562	232	842
"TEX12"	10713	13997	2565	10894
"TEX13A"	54	339	320	173
"TEX13B"	532	225	774	445
"TEX15"	5151	5350	6839	6086
"TEX19"	8758	2525	1835	4441
"TEX2"	5919	6188	8707	7133
"TEX22"	5929	4026	6042	6540
"TEX264"	238	576	527	325
"TEX29"	360	977	648	252
"TEX33"	829	712	1402	964
"TEX35"	1692	1470	852	1922
"TEX36"	1873	92	3332	98
"TEX37"	0	61	0	0
"TEX38"	2672	2643	1028	2203
"TEX9"	2101	2728	1643	3537
"TF"	7	56	105	0
"TFAM"	1206	1162	484	1405
"TFAP2A"	1796	1434	2272	1715
"TFAP2B"	0	113	18	48
"TFAP2C"	1596	1223	844	1315
"TFAP2D"	618	1106	605	799
"TFAP2E"	647	1884	1375	1170
"TFAP4"	3844	4481	5470	5507
"TFB1M"	12	0	0	0
"TFB2M"	4636	3111	5902	4578
"TFCP2L1"	66	150	120	68
"TFDP2"	33	96	10	87
"TFDP3"	0	140	0	0
"TFEB"	7396	6585	7780	6441
"TFF1"	2299	2088	3500	2408
"TFIP11"	835	240	817	263
"TFPI"	385	589	602	584
"TFPI2"	1787	3078	3749	2578
"TFPT"	46	0	145	139
"TFR2"	283	3	266	301
"TG"	0	79	42	0
"TGDS"	889	1259	1399	499
"TGFB1"	736	500	510	921
"TGFB1I1"	2793	2546	5389	2563
"TGFBI"	1152	1133	2615	2737
"TGFBR1"	125	60	28	146
"TGFBR2"	0	72	132	81
"TGFBR3"	21481	20370	34853	27686
"TGFBR3L"	186	7	96	1
"TGFBRAP1"	868	378	762	970
"TGIF1"	1999	1916	1974	2761
"TGIF2"	1970	2266	2213	2000
"TGIF2LX"	2328	1827	1471	2210
"TGIF2LY"	9595	4528	6108	8544
"TGM1"	893	47	145	93
"TGM2"	1172	1037	3065	1676
"TGM3"	173	195	586	60
"TGM4"	4035	4570	5005	4499
"TGM6"	3681	5759	9087	6558
"TGM7"	212	1024	709	380
"TGOLN2"	7659	5989	6380	6907
"TH"	3804	6632	13161	7748
"THADA"	2397	2828	1029	2195
"THAP10"	0	75	0	0
"THAP2"	2204	3155	1523	2215
"THAP3"	12407	9672	17972	11063
"THAP4"	609	268	107	587
"THAP9"	2448	2229	2577	2225
"THBD"	36	161	497	0
"THBS2"	24763	31513	65727	36176
"THBS3"	929	1397	1881	983
"THEG"	124	75	413	237
"THEG5"	5985	6076	7643	6614
"THEGL"	3886	1391	1044	2637
"THEM4"	0	91	85	179
"THEM5"	2761	8030	9657	8261
"THEM6"	64	0	31	0
"THEMIS"	656	369	593	371
"THEMIS2"	423	477	320	377
"THG1L"	2740	2587	3648	2641
"THNSL1"	5727	4321	7049	6731
"THNSL2"	393	350	634	339
"THOC2"	302	375	152	303
"THOC5"	0	144	31	83
"THOC6"	1	0	0	136
"THOC7"	897	824	237	774
"THPO"	5894	8443	11772	9896
"THRA"	1142	1006	1200	2201
"THRAP3"	0	164	32	41
"THRSP"	9872	10397	14571	13570
"THSD1"	246	1710	1682	1069
"THSD4"	0	0	0	30
"THSD7A"	33	0	18	47
"THSD7B"	0	0	0	47
"THTPA"	133	430	186	96
"THUMPD1"	154	93	365	42
"THUMPD2"	4317	3927	3968	3591
"THUMPD3"	6750	7252	5168	8674
"THYN1"	2915	2265	3451	3386
"TIAF1"	0	87	0	0
"TIAL1"	282	266	922	337
"TIAM1"	2143	1780	2715	1783
"TIAM2"	0	0	17	0
"TICAM1"	4139	2651	3790	3947
"TICAM2"	1460	1635	2558	1533
"TIE1"	1147	1189	1618	2310
"TIFA"	3432	4596	2975	6154
"TIFAB"	9302	13928	16090	10852
"TIGAR"	67	297	17	126
"TIGD2"	882	341	834	571
"TIGD3"	4049	4798	5791	4937
"TIGD4"	62	0	172	184
"TIMD4"	2996	3591	5176	3835
"TIMM10B"	1215	2536	2472	1506
"TIMM17A"	439	637	241	788
"TIMM17B"	3112	3107	4558	3417
"TIMM21"	255	373	124	582
"TIMM23B"	0	0	0	28
"TIMM50"	4616	4046	7999	4322
"TIMM8A"	12142	13329	21044	16968
"TIMM8B"	2723	2333	4251	3188
"TIMP1"	4820	3181	2612	3774
"TIMP2"	1246	1796	2487	2036
