transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
0	0	0	0
1372	138	768	1044
996	90	998	789
308	475	676	946
0	0	0	0
0	0	0	0
0	0	3	0
0	0	0	0
0	0	0	0
0	0	0	0
89	148	156	135
0	0	0	0
0	0	0	0
0	0	0	0
1480	1487	1681	1933
29	1	57	74
54	0	30	0
3205	3194	4298	2341
0	0	0	0
0	0	0	0
0	0	0	0
0	0	61	0
0	0	0	0
0	0	0	0
0	0	0	0
5704	4621	5964	5638
0	0	0	0
0	0	0	67
14539	19220	25529	20530
3	0	0	0
22	396	199	140
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
5255	4368	5049	5298
0	0	0	0
0	0	0	0
123	359	132	212
0	0	0	0
0	0	0	0
0	0	0	114
0	0	0	0
170	35	22	55
0	0	0	0
0	0	0	0
233	635	614	538
820	1685	2561	1103
0	0	0	0
0	0	0	0
73	34	6	0
0	0	0	0
0	0	0	0
0	0	0	0
0	30	8	3
0	0	0	0
3472	3501	6618	3307
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
131	523	309	435
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
225	151	89	229
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	125	240	182
0	0	0	0
718	4058	1199	2745
0	0	0	0
0	0	0	0
0	1	0	1
0	0	0	0
113	57	319	356
0	0	0	0
3679	4389	2439	4504
2505	2147	4025	3653
62	4	72	118
0	0	0	0
0	0	0	0
0	0	0	0
0	0	26	154
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
357	165	724	562
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
465	1067	564	1036
0	0	0	0
63	613	413	349
0	0	0	0
0	0	0	0
292	348	922	787
0	0	0	0
142	107	0	58
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
48	287	398	135
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	169	103	125
0	0	0	0
2200	3486	2305	2359
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
39	0	30	68
0	0	0	0
0	522	250	304
1614	7096	7392	5002
153	111	393	168
739	1985	3095	2241
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
408	0	239	211
0	0	0	0
0	0	0	0
0	0	0	0
4354	2963	7579	5658
2068	2379	3367	2964
0	0	0	0
934	882	1614	1588
413	221	210	412
0	0	32	86
277	192	212	311
0	0	0	0
916	958	584	1090
543	1292	1125	596
888	78	766	472
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
115	196	152	140
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	33	0
155	447	325	76
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	48	46
0	0	0	0
0	0	0	0
0	0	0	0
74	60	12	22
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	14	8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
17	0	0	0
376	669	640	454
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
532	597	584	797
399	237	865	487
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2963	2977	3892	3599
0	0	0	0
288	207	311	91
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
37	0	6	123
1261	752	1264	1546
0	0	0	0
1369	693	1358	2154
0	0	0	0
0	0	0	0
114	176	211	56
0	0	0	0
0	0	0	0
2007	1920	1871	1976
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2109	2755	2101	2657
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
723	0	345	357
0	0	0	0
1225	666	1964	738
8569	1660	7525	5066
0	0	0	0
40	2	96	131
2236	3686	4370	2950
0	0	0	0
1141	1457	2618	2462
20	7	557	24
0	0	0	0
0	0	0	0
39	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2663	4463	4131	4417
15	10	0	39
0	0	0	0
0	0	0	0
2118	1025	5459	2574
0	42	95	56
662	750	741	664
915	600	1137	933
0	0	0	0
2862	3285	1503	3552
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1785	1138	1155	1610
5861	4974	6816	7163
0	0	17	0
0	0	0	0
0	0	0	0
384	545	131	596
0	0	0	0
0	0	0	0
1137	1208	2541	2140
0	0	0	0
0	0	0	0
0	0	0	0
1265	2260	1613	1929
0	0	0	0
0	0	0	0
0	144	95	280
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3008	2681	1451	2284
0	0	0	0
0	0	0	0
0	0	0	0
42	0	81	171
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
25	0	0	0
0	0	0	0
0	136	85	181
84	527	227	444
0	0	0	0
1972	2235	1208	1453
0	0	41	0
0	0	0	0
440	156	117	57
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2101	2116	1134	2477
0	0	0	0
0	0	0	0
212	287	102	673
0	0	0	0
141	368	537	126
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1263	2264	306	1261
1436	925	1005	1317
9083	11716	5664	14214
0	0	30	0
39	167	175	127
99	206	251	156
0	0	0	0
1308	810	960	954
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6803	5790	6844	7408
0	0	0	0
0	0	0	0
0	0	0	0
0	280	169	184
0	0	19	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	55
0	0	0	0
0	0	0	0
0	0	0	0
1201	1239	847	1069
61	0	29	0
0	0	0	0
45	294	154	287
0	0	0	0
0	0	0	0
67	267	200	151
68	169	430	150
13	92	7	15
0	0	0	0
1218	1260	1795	1877
142	1911	1212	642
0	0	0	0
0	0	0	0
508	231	307	523
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
612	381	571	484
0	0	0	0
1172	909	1180	583
0	0	0	0
0	0	0	0
0	0	0	0
1201	782	1653	1769
0	0	0	0
0	0	0	0
0	0	0	0
0	26	0	0
0	0	0	0
125	61	295	175
0	0	0	0
0	0	36	0
793	1099	303	881
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
366	66	172	388
0	0	0	0
6679	3809	7192	6100
0	0	0	0
4407	3375	1381	3430
0	0	0	0
0	0	0	0
0	1511	750	528
0	0	0	0
5080	3436	2536	3271
730	717	929	681
5268	4901	7656	6029
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3490	3728	4816	9052
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3576	4432	5706	5945
0	0	0	0
0	0	56	0
788	392	1065	375
0	0	0	0
0	0	0	0
125	512	27	312
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	906	215	352
0	0	0	0
0	0	0	0
0	0	0	0
21	0	0	0
281	107	365	505
512	973	391	977
0	0	0	0
1149	1774	2507	1472
1165	1649	3179	2815
0	0	0	0
0	0	0	0
2844	3876	4655	5389
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	143	47	0
0	0	0	0
0	0	0	0
0	0	0	0
177	0	70	218
0	0	0	0
0	0	0	0
33	0	0	48
0	0	0	0
0	0	0	0
74	0	121	0
0	0	0	0
0	0	0	0
0	0	0	0
1175	1151	2252	2286
0	0	0	0
348	425	461	782
0	0	12	70
1402	1613	2557	1911
11252	10769	20897	13417
0	0	0	0
332	428	176	379
0	0	0	0
0	0	0	0
0	0	0	0
19	0	0	0
20	161	0	73
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1140	1310	1114	1249
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	235
0	0	0	0
0	0	0	0
5	0	3	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	50	66
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9780	6442	14643	10934
0	0	0	0
0	80	94	180
5551	6066	6894	6959
2793	2747	8604	2686
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1855	1631	3414	1859
0	0	0	0
0	0	0	0
0	0	0	0
0	0	31	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
431	113	918	169
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
425	482	449	505
0	0	0	0
0	0	0	0
0	0	0	0
112	668	481	163
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2508	3109	4783	2531
42	177	152	0
0	0	16	0
0	0	0	0
0	0	0	0
0	0	0	0
4	3	0	2
390	236	617	196
0	0	0	0
332	0	74	369
0	0	0	0
0	0	0	0
